no,src,tgt,basic_ingredient
892,siomay ayam no msg,"250 g fillet ayam ,  haluskan  ( saya plus kulitnya diblender semua )  || 1 butir telur ayam ,  kocok lepas || 1 batang bawang prei ,  iris tipis || 1 buah wortel ,  serut kasar || 5 sdm tepung tapioka / kanji || 1 sdm tepung terigu serbaguna || 2 sdt garam || 1 / 2 sdt gula pasir || 1 / 2 sdt minyak wijen || secukupnya merica bubuk || secukupnya kulit lumpia ,  saya beli jadi || secukupnya air || ",ayam
12692,"tempe koro tepung kriukk, mudah dan simpel",4 bungkus tempe koro ( bungkus daun )  || 1 ons tepung terigu || 5 sdm tepung maizena || 3 buah bawang putih || 1 sdt bubuk ketumbar || garam secukupnya  ( sesuai selera )  || secukupnya penyedap  ( bila perlu )  || secukupnya air putih || secukupnya minyak goreng || 1 tangkai daun sledri || ,tempe
2758,suwir tongkol,1 ekor ikan tongkol || 2 buah jeruk limo || 5 butir bawang merah || 10 buah cabe rawit || 1 sdt lada || minyak goreng || ,ikan
1,ayam goreng tulang lunak,1 kg ayam  ( dipotong sesuai selera jangan kecil2 ya )  || 2 batang serai  ( memarkan )  || 4 lembar daun jeruk || 7 butir bawang putih  ( haluskan )  || 1 sdm ketumbar  ( haluskan )  || 3 ruas jari laos  ( haluskan )  || 3 ruas jari kunyit  ( haluskan )  || 2 butir kemiri  ( haluskan )  || secukupnya garam || secukupnya air  ( tuk ukep ayam )  || secukupnya minyak goreng || ,ayam
2563,kakap kuah santan ala2 eike cyinnnn...,3 ekor kakap merah dan segar || daun salam || sereh || 1 / 2 ruas jahe || 3 buah kemiri || 10 buah cabe merah || kunyit sedikit saja || 8 siung bawang merah || 5 siung bawang putih || 1 sdt ketumbar || 1 / 2 tomat || 1 kotak kara || minyak goreng || secukupnya air || ,ikan
5370,pastel kari kentang ayam,"isi  :  || 400 gr kentang || 200 gr wortel || 200 gr ayam fillet || 100 gr daun bawang  +  seledri || 100 ml santan || bumbu halus  :  || 7 siung bawang putih || 3 siung bawang merah || 1 / 2 sdm cabe merah halus  ( seseuai selera )  || 2 sdm bumbu kari kambing  ( basah  /  kering )  || salt  +  sugar || kulit  :  || 450 gr terigu pro sedang || 80 gr butter || 60 ml vegetable oil  /  minyak sayur || salt  ( pinch )  || warm water  ( sesuiakan ,  adonan jgn terlalu basah atau kering yaa )  || ",kambing
9731,tumis kolor ijo (kol telor cabe ijo) 😅,kol  ( iris tipis )  || 1 butir telor  (  )  || 3 siung bawang merah  (  )  || 2 siung bawang putih  (  )  || 15 buah cabe ijo  (  / kalau mau lebih pedas bisa ditambah )  || 1 buah tomat  (  )  || secukupnya garam  (  )  || secukupnya royco  (  )  || ,telur
4291,iga kambing teriyaki,secukupnya daging kambing || 3 buah bawang putih || 4 buah bawang merah || 1 buah bawang bombay || secukupnya margarin || secukupnya kecap saus teriyaki || sesuai selera saus pedas || secukupnya garam || 1 potong nanas kalau tidak ada pakai jeruk nipis || sesuai selera cabai jika ingin lebih pedas || ,kambing
801,ayam cabai hijau,250 gr daging ayam || 1 buah tahu putih || 65 gr santan  ( santan instan kara )  || 5 siung bawang putih || 5 siung bawang merah || secukupnya garam || secukupnya gula merah || 5 buah cabai hijau || secukupnya serai || secukupnya daun salam || secukupnya air putih || ,ayam
11087,kwitiau goreng telor,500 gram kwitiau || 6 siung bawang putih || 7 siung bawang merah || 5 buah cabe merah || 1 buah tomat merah || 1 batang daun bawang || 1 ikat sawi hijau || secukupnya toge || 3 sdm kecap manis || 2 sdm kecap asin || 1 sdt garam || 1 sdt ladaku || 2 sdt saus tiram || 1 butir telor || 3 buah sosis || 5 buah baso kebon jeruk || 2 sdm minyak goreng || ,telur
9595,tahu isi kukus,"15 tahu kopong || 2 bh wortel || 2 lembar sawi putih || 4 btg daun bawang || 1 ons toge || 1 paha ayam ,  iris halus || 2 sdm maizena || bumbu dihaluskan  :  || 3 sg bwg putih || 3 btr kemiri || 1 / 2 sdt merica halus || secukupnya garam || secukupnya kaldu bubuk || 1 sdm minyak goreng || 50 cc air || ",tahu
3185,gurame asem manis pedas ala anak kost,4 ekor ikan gurame segar  ( sudah di cuci bersih dan di potong 2 )  || 6 butir bawang putih || 7 butir bawang merah || 10 buah cabai merah setan || 3 buah tomat besar || 1 ruas jahe || 1 sachet saus tiram || 5 sdm saus pedas || 2 sdt gula pasir || 1 sdt garam || 1 sdt lada bubuk || 2 buah daun bawang  ( potong melingkar )  || minyak goreng untuk menggoreng ikan dan menumis bumbu || 100 ml air || 1 buah jeruk nipis untuk menghilangkan amis || ,ikan
10883,seblak ceker telor,2 genggam kerupuk udang  ( rendam di air hangat )  || 5 ceker ayam  ( rebus dahulu )  || 1 sdt garam || 6 siung bawang merah || 3 siung bawang putih || 1 kencur || 1 butir telor ayam || 20 cabe rawit || 3 cabe merah || ,telur
9911,oseng telur rebus,2 siung bawang merah || 1 siung bawang putih || 2 buah cabai rawit || 2 butir telur || secukupnya garam dan rocyo || secukupnya minyak  ( saya pakai sedikit saja )  || ,telur
8897,cah caisim tahu,"2 ikat besar caisim ,  cuci bersih ,  potong2  +  /  -  2 cm || 2 1 / 2 buah tahu kuning ,  potong kotak jgn terlalu kecil || 2 siung bawang putih || secukupnya merica || secukupnya garam || secukupnya penyedap || ",tahu
13538,tahu tempe bumbu kuning,"2 buah tahu putih ,  goreng setengah matang || 1 / 2 papan tempe ,  goreng setengah matang || 1 / 2 butir kelapa ,  ambil santannya  ( encer dan kental )  || 3 butir bawang merah || 3 siung bawang putih || 3 cm kunyit || 1 butir kemiri ,  goreng sebentar || 1 / 4 sdt ketumbar bubuk || 1 / 2 ruas lengkuas ,  geprek || 2 lembar daun salam || bawang goreng untuk taburan || ",tempe
2479,asem asem bandeng,"2 ekor ikan bandeng segar || 1 btr jeruk nipis ambil airnya ||  🍀 iris bumbu || 7 siung bawang merah || 4 siung bawang putih || 2 cm kunyit || 2 cm jahe ||  🍀  🍀 bumbu pelengkap || 4 lbr daun salam || 3 cm lengkuas geprek || 3 btg serai geprek || secukupnya asam || secukupnya gula ,  garam || 3 bh tomat potong jadi 4 || 1 , 2 ltr air bersih || ",ikan
11728,tempe bacem,"2 papan tempe ukuran besar ,  potong dan kerat tiap sisinya || 600 ml air kelapa muda || 500 ml air biasa || 3 lembar daun salam || 1 ibu jari lengkuas || 8 keping gula merah  ( ukuran kecil )  || 1 sdm kecap manis || secukupnya asam jawa || secukupnya garam || bumbu halus :  || 8 - 10 butir bawang merah || 6 siung bawang putih || 1 sdm ketumbar || ",tempe
199,chicken katsu,"1 ekor ayam ,  iris pipih ambil bagian dagingnya saja || 1 / 4 tepung roti || 1 / 8 terigu || bumbu halus :  || 1 sdm ketumbar || 2 bawang putih || garam || 1 sdt lada || bumbu sambal :  || 1 sdm mentega || saos tomat || saos sambal || saos tiram || ",ayam
10034,telur balado (mudah),telur rebus || bawang merah || teri medan  ( tidak harus ada )  || cabe || garam dan gula  ( kalau perlu )  || ,telur
12888,tumis tempe campur caisim,"5 buah caisim || 1 / 2 papan tempe  ( harga 3 rbn )  potong kotak panjang || 2 siung bawang putih ,  iris tipis || 4 siung bawang merah ,  iris tipis || 1 buah cabe keriting ,  potong serong || 1 lembar daun salam || secukupnya penyedap rasa ayam || secukupnya saus tiram || secukupnya air || ",tempe
11115,dadar telur bayam,"10 telur || 4 bawang merah ,  rajang || 2 daun bawang ,  iris || 2 ikat bayam || 1 / 2 sdt garam || ",telur
11939,bakso goreng tempe,"1 / 2 papan tempe || 150 gr ayam yg sdh dihaluskan || 3 sdm munjung tepung tapioka / kanji || 3 siung bawang putih , haluskan || 1 / 4 sdt lada bubuk || 1 butir telur || secukupnya kaldu , garam , gula || 1 liter air putih  ( buat rebusan )  || minyak untuk menggoreng || taburan  :  || secukupnya daun bawang  iris2 tipis || ",tempe
10959,sarden mackerel telur dadar,1 kaleng sarden mackerel || 2 siung bawang putih || 1 siung bawang merah || 10 cabe rawit merah || sesuai selera bagi yg suka pedas || 1 sendok lada bubuk || saos botol secukupnya || secukupnya sawi || 1 butir telur || ,telur
8565,tumis toge tahu,toge || 1 buah cabe ijo besar || 3 buah cabe merah keriting || 5 buah cabe rawit || 3 siung bawang merah || 2 siung bawang putih || 1 buah tomat || 2 buah tahu || secukupnya garam || secukupnya gula || ,tahu
6501,sambal daging sapi minang,1 / 2 kg daging sapi dipotong tipis || 1 buah kentang dipotong dadu || 2 buah tomat || 15 buah cabai merah || 10 buah cabai rawit merah || 10 siung bawang merah || 5 siung bawang putih || 5 lembar daun salam || secukupnya garam || sesuai selera penyedap rasa || ,sapi
3421,spicy tuna aglio olio spaghetti,"spaghetti  ( saya pakai la fonte )  || tuna kaleng  ( saya pakai ayam brand )  || bawang putih ,  cincang halus || cabe rawit merah iris tipis || olive oil || merica || chili flakes untuk taburan || ",ikan
11907,tempe crispy super cepat dan gampang!,6 potong tempe || 2 potong tahu || 3 sendok makan tepung serbaguna  ( aku pake sasa )  untuk adonan basah || 5 sendok makan tepung serbaguna untuk adonan kering  ( lebih banyak juga boleh biar makin crispy )  || ,tempe
10416,orek telur caisim,"1 / 2 ikat caisim || 1 bh telur || 2 bh bawang putih || 1 bh bawang merah || 1 sdt lada || 2 sdt garam || 1 sdt gula pasir || secukupnya penyedap rasa  ( opsional )  || 1 sdm minyak goreng || 1 / 4 gelas belimbing ,  air || 1 sdm tepung maizena || ",telur
1361,bento chicken black pepper,bahan ayam  :  || 4 sayap ayam || 1 bawang putih geprek || secukupnya garam lada || air || bahan bumbu  :  || 1 sachet saori lada hitam || 1 bawang putih iris || 1 / 2 bawang bombay iris || 2 cabai merah besar || kecap || lada hitam || air || 1 1 / 2 sdt maizena || bahan salad  :  || 2 wortel kecil || 1 / 2 kol || bahan kreasi  :  || nori panggang || tambahan  :  || saos sambel || mayonaise pedes || buah || ,ayam
1821,ayam goreng,1 kg ayam || secukupnya minyak goreng || bumbu ungkep  :  || 1 / 2 bungkus jahe bubuk || 1 / 4 sendok makan ketumbar || 3 sendok makan garam || 1 bungkus kunyit bubuk || 1 bungkus bumbu racik ayam goreng || 5 siung bawang merah || 3 siung bawang putih || 1 / 2 bungkus royco ayam || 250 ml air || bahan2 sambal  :  || 3 siung awang merah || 2 siung bawang putih || 12 cabe rawit || 3 cabe merah keriting || 1 buah tomat || 1 / 2 potong gula merah || 1 / 2 bungkus royco ayam || 1 / 2 sendok garam || ,ayam
9998,perkedel tatewo (tahu telor wortel),4 buah tahu sutra  ( haluskan pke sendok )  || 1 btr telur  ( kocok lepas )  || 2 buah wortel uk besar  ( parut keju )  || 3 sdm terigu || secukupnya daun bawang iris kecil || secukupnya penyedap rasa || minyak untuk menggoreng || ,telur
13534,bacem tahu tempe dan sawi rebus,tahu tempe || 1 santan kara || 1 gula merah kecil || 1 bungkus bango bumbu bacen tahu tempe || kecap || gula || garam || air || sawi hijau || ,tempe
